,Unnamed: 0,instruction,test_list,generated_code,gen_code,code_test
10,10,"def invert_dict(a1,a2,a3):
	""""""Detect inversion of dict.""""""","[""assert invert_dict(['a', 'b'],[1, 2],'') == False"", ""assert invert_dict(['a', 'b'],[1, 2],'inverted') == True"", ""assert invert_dict(['a', 'b', 'c'],[1, 2, -1],'') == False"", ""assert invert_dict(['a', 'b', 'c'],[1, 2, -1],'inverted') == True"", ""assert invert_dict(['1'],[1],'') == False""]","def invert_dict(a1,a2,a3):
	""""""Detect inversion of dict.""""""
	if a1 in a2:
		if a2[a1] in a3:
			return a3[a2[a1]]
		else:
			return a1
	else:
		return a1

def get_dict_value(a1,a2,a3):
	""""""Get value of dict.""""""
	if a1 in a2:
		if a2[a1] in a3:
			return a3[a2[a1]]
		else:
			return a1
	else:
		return","def invert_dict(a1,a2,a3):
	""""""Detect inversion of dict.""""""
	if a1 in a2:
		if a2[a1] in a3:
			return a3[a2[a1]]
		else:
			return a1
	else:
		return a1","def invert_dict(a1,a2,a3):
	""""""Detect inversion of dict.""""""
	if a1 in a2:
		if a2[a1] in a3:
			return a3[a2[a1]]
		else:
			return a1
	else:
		return a1"
11,11,"def class_definition(a1,a2,a3,a4,a5):
	""""""Create POJO class.""""""","[""assert class_definition('David Jones',25,175,75,'age') == 'David Jones is age 25'"", ""assert class_definition('Paul Smith',50,160,60,'weight') == 'Paul Smith weighs 60 kg'"", ""assert class_definition('Paul Smith',50,160,60,'height') == 'Paul Smith is 160 cm'"", ""assert class_definition('Herr Schmidth Gold',50,210,60,'height') == 'Herr Schmidth Gold is 210 cm'"", ""assert class_definition('Paul Smith',5,160,60,'age') == 'Paul Smith is age 5'""]","def class_definition(a1,a2,a3,a4,a5):
	""""""Create POJO class.""""""
	class_name = a1
	class_doc = a2
	class_methods = a3
	class_attributes = a4
	class_methods_doc = a5
	class_attributes_doc = a5
	class_methods_attributes = a4
	class_methods_attributes_doc = a5
	class_methods_attributes_doc_2 = a5
	class_methods_attributes_doc_3 = a5
	class_methods_attributes_doc_4 = a5
	class_methods_attributes_doc_5 =","def class_definition(a1,a2,a3,a4,a5):
	""""""Create POJO class.""""""
	class_name = a1
	class_doc = a2
	class_methods = a3
	class_attributes = a4
	class_methods_doc = a5
	class_attributes_doc = a5
	class_methods_attributes = a4
	class_methods_attributes_doc = a5
	class_methods_attributes_doc_2 = a5
	class_methods_attributes_doc_3 = a5
	class_methods_attributes_doc_4 = a5
	class_methods_attributes_doc_5 =","def class_definition(a1,a2,a3,a4,a5):
	""""""Create POJO class.""""""
	class_name = a1
	class_doc = a2
	class_methods = a3
	class_attributes = a4
	class_methods_doc = a5
	class_attributes_doc = a5
	class_methods_attributes = a4
	class_methods_attributes_doc = a5
	class_methods_attributes_doc_2 = a5
	class_methods_attributes_doc_3 = a5
	class_methods_attributes_doc_4 = a5
	class_methods_attributes_doc_5 ="
12,12,"def longest_number(a1):
	""""""Print longest number.""""""","['assert longest_number([1, 2, 3, 12]) == 12', 'assert longest_number([-123, 2, 3, 12]) == -123', 'assert longest_number([1]) == 1', 'assert longest_number([-12, 1]) == -12', 'assert longest_number([1, 22, 333, 4444, -55555]) == -55555']","def longest_number(a1):
	""""""Print longest number.""""""
	a2 = a1.split()
	a3 = []
	for i in a2:
		a3.append(int(i))
	a4 = max(a3)
	print(a4)

longest_number(""1234567890123456789012345678901234567890123456789012345678901234567890","def longest_number(a1):
	""""""Print longest number.""""""
	a2 = a1.split()
	a3 = []
	for i in a2:
		a3.append(int(i))
	a4 = max(a3)
	print(a4)","def longest_number(a1):
	""""""Print longest number.""""""
	a2 = a1.split()
	a3 = []
	for i in a2:
		a3.append(int(i))
	a4 = max(a3)
	return(a4)"
13,13,"def linear_regression(a1):
	""""""Fit linear regression model with specified function and sk-learn.""""""","['assert linear_regression(1) == 2', 'assert linear_regression(2) == 4', 'assert linear_regression(3) == 6', 'assert linear_regression(4) == 8', 'assert linear_regression(5) == 10']","def linear_regression(a1):
	""""""Fit linear regression model with specified function and sk-learn.""""""
	# Fitting model
	model = LinearRegression()
	model.fit(a1.reshape(-1,1), a1)
	# Predicting the output
	y_pred = model.predict(a1.reshape(-1,1))
	# Returning the model
	return model, y_pred

def linear_regression_with_sk_learn(a1):
	""""""Fit linear regression model with specified function and sklearn.""""""
	# Fitting model
	model = LinearRegression()
	model.fit(a1.reshape(-1,1","def linear_regression(a1):
	""""""Fit linear regression model with specified function and sk-learn.""""""
	# Fitting model
	model = LinearRegression()
	model.fit(a1.reshape(-1,1), a1)
	# Predicting the output
	y_pred = model.predict(a1.reshape(-1,1))
	# Returning the model
	return model, y_pred","def linear_regression(a1):
	""""""Fit linear regression model with specified function and sk-learn.""""""
	# Fitting model
	model = LinearRegression()
	model.fit(a1.reshape(-1,1), a1)
	# Predicting the output
	y_pred = model.predict(a1.reshape(-1,1))
	# Returning the model
	return model, y_pred"
14,14,"def encrypt_and_decrypt(a1):
	""""""Rotate alphabet for encryption. Write a function for decryption (inverse of encrypt()). Concat should give identity function.""""""","[""assert encrypt_and_decrypt('hi') == ['hi', 'jk']"", ""assert encrypt_and_decrypt('asdfghjkl') == ['asdfghjkl', 'cufhijlmn']"", ""assert encrypt_and_decrypt('gf') == ['gf', 'ih']"", ""assert encrypt_and_decrypt('Hello World') == ['Hello World', 'Hgnnq Wqtnf']"", ""assert encrypt_and_decrypt('This is a LONG string for our encryption algOrithm.') == ['This is a LONG string for our encryption algOrithm.', 'Tjku ku c LONG uvtkpi hqt qwt gpetarvkqp cniOtkvjo.']""]","def encrypt_and_decrypt(a1):
	""""""Rotate alphabet for encryption. Write a function for decryption (inverse of encrypt()). Concat should give identity function.""""""
	a2 = a1
	for i in range(len(a1)):
		a2 = a2[1:] + a2[0]
	return a2

def encrypt(a1):
	""""""Rotate alphabet for encryption. Write a function for decryption (inverse of encrypt()). Concat should give identity function.""""""
	a2 = a1
	for i in range(len(a1)):
		a2 = a2[1:] + a2[0]
	return a2

def decrypt(a1):
	""""""Rotate alphabet for encryption","def encrypt_and_decrypt(a1):
	""""""Rotate alphabet for encryption. Write a function for decryption (inverse of encrypt()). Concat should give identity function.""""""
	a2 = a1
	for i in range(len(a1)):
		a2 = a2[1:] + a2[0]
	return a2","def encrypt_and_decrypt(a1):
	""""""Rotate alphabet for encryption. Write a function for decryption (inverse of encrypt()). Concat should give identity function.""""""
	a2 = a1
	for i in range(len(a1)):
		a2 = a2[1:] + a2[0]
	return a2"
15,15,"def compare_object_equivalence(a1,a2,a3):
	""""""Implement a class with __hash__ and obtain a count unique objects.""""""","[""assert compare_object_equivalence(<built-in function id>,(1, 2, 2),'C') == 2"", ""assert compare_object_equivalence('name',(1, 2, 2),'C') == 3"", ""assert compare_object_equivalence(<built-in function id>,(2, 2, 2),'C') == 1"", ""assert compare_object_equivalence(<built-in function id>,(1, 2, 3),'C') == 3"", ""assert compare_object_equivalence('name',(1, 1, 1),'B') == 2""]","def compare_object_equivalence(a1,a2,a3):
	""""""Implement a class with __hash__ and obtain a count unique objects.""""""
	return hash(a1) == hash(a2) == hash(a3)

def compare_object_equivalence_with_hash(a1,a2,a3):
	""""""Implement a class with __hash__ and obtain a count unique objects.""""""
	return hash(a1) == hash(a2) == hash(a3)

def compare_object_equivalence_with_hash_and_equality(a1,a2,a3):
	""""""Implement a class with __hash__ and obtain a count unique objects.""""""
	return hash","def compare_object_equivalence(a1,a2,a3):
	""""""Implement a class with __hash__ and obtain a count unique objects.""""""
	return hash(a1) == hash(a2) == hash(a3)","def compare_object_equivalence(a1,a2,a3):
	""""""Implement a class with __hash__ and obtain a count unique objects.""""""
	return hash(a1) == hash(a2) == hash(a3)"
16,16,"def drunken_python(a1):
	""""""Overload built-in functions, and write functions which correct drunken functions.""""""","[""assert drunken_python(29348) == [29348, '29348']"", ""assert drunken_python(1) == [1, '1']"", ""assert drunken_python(123) == [123, '123']"", ""assert drunken_python(2344) == [2344, '2344']"", ""assert drunken_python(-1) == [-1, '-1']""]","def drunken_python(a1):
	""""""Overload built-in functions, and write functions which correct drunken functions.""""""
	a2 = a1 + 1
	a3 = a2 + 1
	a4 = a3 + 1
	a5 = a4 + 1
	a6 = a5 + 1
	a7 = a6 + 1
	a8 = a7 + 1
	a9 = a8 + 1
	a10 = a9 + 1
	a11 = a10 + 1
	a12 = a11 + 1
	a13 = a12 + 1
","def drunken_python(a1):
	""""""Overload built-in functions, and write functions which correct drunken functions.""""""
	a2 = a1 + 1
	a3 = a2 + 1
	a4 = a3 + 1
	a5 = a4 + 1
	a6 = a5 + 1
	a7 = a6 + 1
	a8 = a7 + 1
	a9 = a8 + 1
	a10 = a9 + 1
	a11 = a10 + 1
	a12 = a11 + 1
	a13 = a12 + 1
","def drunken_python(a1):
	""""""Overload built-in functions, and write functions which correct drunken functions.""""""
	a2 = a1 + 1
	a3 = a2 + 1
	a4 = a3 + 1
	a5 = a4 + 1
	a6 = a5 + 1
	a7 = a6 + 1
	a8 = a7 + 1
	a9 = a8 + 1
	a10 = a9 + 1
	a11 = a10 + 1
	a12 = a11 + 1
	a13 = a12 + 1
"
17,17,"def morse_code(a1):
	""""""Encode a string into morse code given its conversion rule.""""""","[""assert morse_code('Hello World') == 'HELLO WORLD'"", ""assert morse_code('Hello Foo') == 'HELLO FOO'"", ""assert morse_code('Hello WORLD') == 'HELLO WORLD'"", ""assert morse_code('foo BAR') == 'FOO BAR'"", ""assert morse_code('This is a long string') == 'THIS IS A LONG STRING'""]","def morse_code(a1):
	""""""Encode a string into morse code given its conversion rule.""""""
	morse = """"
	for letter in a1:
		if letter == "" "":
			morse += "" ""
		elif letter.isupper():
			morse += ""A""
		elif letter.islower():
			morse += ""B""
		elif letter.isdigit():
			morse += ""C""
		elif letter.isalpha():
			morse += ""D""
		elif letter == "" "":
			morse += "" ""
		else:
			morse += ""E""
	return morse

def morse_","def morse_code(a1):
	""""""Encode a string into morse code given its conversion rule.""""""
	morse = """"
	for letter in a1:
		if letter == "" "":
			morse += "" ""
		elif letter.isupper():
			morse += ""A""
		elif letter.islower():
			morse += ""B""
		elif letter.isdigit():
			morse += ""C""
		elif letter.isalpha():
			morse += ""D""
		elif letter == "" "":
			morse += "" ""
		else:
			morse += ""E""
	return morse","def morse_code(a1):
	""""""Encode a string into morse code given its conversion rule.""""""
	morse = """"
	for letter in a1:
		if letter == "" "":
			morse += "" ""
		elif letter.isupper():
			morse += ""A""
		elif letter.islower():
			morse += ""B""
		elif letter.isdigit():
			morse += ""C""
		elif letter.isalpha():
			morse += ""D""
		elif letter == "" "":
			morse += "" ""
		else:
			morse += ""E""
	return morse"
18,18,"def two-sum(a1,a2):
	""""""Implement the two-sum problem on a given input pair.""""""","['assert two-sum([0, 1, 2, 3],4) == [1, 3]', 'assert two-sum([1, 11, 111],122) == [1, 2]', 'assert two-sum([-1, 0, 2, 4],3) == [0, 3]', 'assert two-sum([10, 20, 30, 40],70) == [2, 3]', 'assert two-sum([-1, -1, 123, -123],0) == [2, 3]']","def two-sum(a1,a2):
	""""""Implement the two-sum problem on a given input pair.""""""
	# Write your code here
	a1.sort()
	a2.sort()
	for i in range(len(a1)):
		for j in range(len(a2)):
			if a1[i]+a2[j] == 0:
				return [a1[i],a2[j]]
	return []

def two_sum_2(a1,a2):
	""""""Implement the two-sum problem on a given input pair.""""""
	# Write your code here
	a1.sort()
	a2","def two-sum(a1,a2):
	""""""Implement the two-sum problem on a given input pair.""""""
	# Write your code here
	a1.sort()
	a2.sort()
	for i in range(len(a1)):
		for j in range(len(a2)):
			if a1[i]+a2[j] == 0:
				return [a1[i],a2[j]]
	return []","def two-sum(a1,a2):
	""""""Implement the two-sum problem on a given input pair.""""""
	# Write your code here
	a1.sort()
	a2.sort()
	for i in range(len(a1)):
		for j in range(len(a2)):
			if a1[i]+a2[j] == 0:
				return [a1[i],a2[j]]
	return []"
19,19,"def k-means(a1):
	""""""Implement and run k-means on sampled points.""""""","['assert k-means(10) == ((-10, -10), (10, 10))', 'assert k-means(20) == ((-20, -20), (20, 20))', 'assert k-means(30) == ((-30, -30), (30, 30))', 'assert k-means(40) == ((-40, -40), (40, 40))', 'assert k-means(50) == ((-50, -50), (50, 50))']","def k-means(a1):
	""""""Implement and run k-means on sampled points.""""""
	# Initialize the centroids randomly
	centroids = np.random.rand(k, dim)
	# Initialize the cluster labels as -1
	labels = -1 * np.ones(n)
	# Initialize the cluster centers as the first point
	cluster_centers = a1[0]
	# Initialize the number of iterations
	iterations = 0
	# Repeat until the number of iterations is less than 100
	while iterations < 100:
		# Assign each point to the closest centroid
		for i in range(n):
			#","def k-means(a1):
	""""""Implement and run k-means on sampled points.""""""
	# Initialize the centroids randomly
	centroids = np.random.rand(k, dim)
	# Initialize the cluster labels as -1
	labels = -1 * np.ones(n)
	# Initialize the cluster centers as the first point
	cluster_centers = a1[0]
	# Initialize the number of iterations
	iterations = 0
	# Repeat until the number of iterations is less than 100
	while iterations < 100:
		# Assign each point to the closest centroid
		for i in range(n):
			#","def k-means(a1):
	""""""Implement and run k-means on sampled points.""""""
	# Initialize the centroids randomly
	centroids = np.random.rand(k, dim)
	# Initialize the cluster labels as -1
	labels = -1 * np.ones(n)
	# Initialize the cluster centers as the first point
	cluster_centers = a1[0]
	# Initialize the number of iterations
	iterations = 0
	# Repeat until the number of iterations is less than 100
	while iterations < 100:
		# Assign each point to the closest centroid
		for i in range(n):
			#"
20,20,"def even_odd_sum(numbers):
	""""""Print the sum of even and odd numbers in an array.""""""","['assert even_odd_sum([1]) == [0, 1]', 'assert even_odd_sum([2e+100, 5e+100, -11, 10]) == [7e+100, -11]', 'assert even_odd_sum([]) == [0, 0]', 'assert even_odd_sum([-5, 1, 6, -25, -36, 6]) == [-24, -29]', 'assert even_odd_sum([73, 4, 14, 95, 69, 57, 82, 4, 75, 50, 91, 4, 83, 89, 61, 67, 53, 54, 48, 10]) == [270, 813]']","def even_odd_sum(numbers):
	""""""Print the sum of even and odd numbers in an array.""""""
	even_sum = 0
	odd_sum = 0
	for number in numbers:
		if number % 2 == 0:
			even_sum += number
		else:
			odd_sum += number
	print(f""The sum of even numbers is {even_sum}"")
	print(f""The sum of odd numbers is {odd_sum}"")


def even_odd_sum_2(numbers):
	""""""Print the sum of even and odd numbers in an array.""""""
	even_sum = 0
	odd_sum =","def even_odd_sum(numbers):
	""""""Print the sum of even and odd numbers in an array.""""""
	even_sum = 0
	odd_sum = 0
	for number in numbers:
		if number % 2 == 0:
			even_sum += number
		else:
			odd_sum += number
	print(f""The sum of even numbers is {even_sum}"")
	print(f""The sum of odd numbers is {odd_sum}"")","def even_odd_sum(numbers):
	""""""Print the sum of even and odd numbers in an array.""""""
	even_sum = 0
	odd_sum = 0
	for number in numbers:
		if number % 2 == 0:
			even_sum += number
		else:
			odd_sum += number
	return(f""The sum of even numbers is {even_sum}"")
	return(f""The sum of odd numbers is {odd_sum}"")"
